Team,Player,First Name,Last Name,Age,Pos,F,D,G,C,RW,LW,RD,LD,CH 20-21,CH 21-22,CH 22-23,CH 23-24,CH 24-25,CH 25-26,CH 26-27,CH Total,CH Avg,Cap%,NMC,Expiry,UFA Expiry,RFA Expiry,27/54,Game Req,Must Protect,Under Contract 21/22,UFA,Meets Exposure,Overall,OPS,DPS,PS,GP,GAOPS,GADPS,GAPS,CH 21-22_scaled,CH Total_scaled,CH Avg_scaled,OPS_scaled,DPS_scaled,PS_scaled,GAOPS_scaled,GADPS_scaled,GAPS_scaled,Overall_scaled,CH 20-21_standard,CH 21-22_standard,CH 22-23_standard,CH 23-24_standard,CH 24-25_standard,CH 25-26_standard,CH 26-27_standard,CH Avg_standard,Overall_standard,PS_standard,GAPS_standard
ANA,Ryan Getzlaf,Ryan,Getzlaf,36,C,1,0,0,1,0,0,0,0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,1,1,No,0,1,0,83.0,0.1,0.5,0.6,48.0,0.1,0.6,0.7,0.0,0.0,0.0,0.4080150690866417,2.1078751668984257,1.0440828521079062,0.4168803477269865,1.9923899184727696,0.9224121584588586,3.722899786909127,12.393567378759943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65544376315367,9.266297393397881,9.236682269751778
ANA,Adam Henrique,Adam,Henrique,31,C,1,0,0,1,0,0,0,0,5.825,5.825,5.825,5.825,0.0,0.0,0.0,17.475,5.825,7.1,False,UFA (2024),2024.0,0.0,1,1,No,1,0,1,80.0,1.5,0.6,2.1,45.0,1.9,0.7,2.6,5.825,11.922715113193265,5.825,6.120226036299626,2.5294502002781107,3.654289982377672,6.670085563631784,2.550259095645145,3.443672058246405,3.588337144008797,11.386944305393913,10.827587179081677,10.332607649026992,9.8387504694447,0.0,0.0,0.0,10.827587179081677,10.012168298663667,9.96325258591721,9.90268814900929
ANA,Jakob Silfverberg,Jakob,Silfverberg,30,RW,1,0,0,0,1,0,0,0,5.25,5.25,5.25,5.25,0.0,0.0,0.0,15.75,5.25,6.4,False,UFA (2024),2024.0,0.0,1,1,No,1,0,1,80.0,0.3,0.4,0.7,47.0,0.4,0.5,0.8,5.25,10.745794737212812,5.25,1.2240452072599253,1.6863001335187406,1.2180966607925572,1.2772504270784266,1.627824954667114,1.099044273908427,3.588337144008797,11.148260483874132,10.615123879591934,10.117328966289634,9.590039178361472,0.0,0.0,0.0,10.615123879591934,10.012168298663667,9.31276107289917,9.271735210765332
ANA,David Backes,David,Backes,37,C,1,0,0,1,0,0,0,0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,12 GR,0,No,0,1,0,78.0,0.2,0.1,0.3,15.0,0.7,0.4,1.1,0.0,0.0,0.0,0.8160301381732835,0.4215750333796851,0.5220414260539531,2.668034225452714,1.2751295478225726,1.4758594535341734,3.4986287154085773,10.836933760152679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.583317989003664,9.126906354894015,9.376894033805991
ANA,Rickard Rakell,Rickard,Rakell,28,RW,1,0,0,0,1,0,0,0,3.789,3.789,0.0,0.0,0.0,0.0,0.0,3.789,3.789,4.6,False,UFA (2022),2022.0,0.0,1,1,No,1,0,1,83.0,1.3,0.6,2.0,52.0,1.4,0.6,2.2,3.789444,2.5854341201373123,3.789444,5.304195898126343,2.5294502002781107,3.480276173693021,5.002564172723838,2.2069549866159908,2.838191256796488,3.722899786909127,10.541796026064741,10.07528234819278,0.0,0.0,0.0,0.0,0.0,10.07528234819278,10.65544376315367,9.916788906415922,9.762476384955077
ANA,Danton Heinen,Danton,Heinen,26,LW,1,0,0,0,0,1,0,0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,RFA (2021),0.0,2021.0,1,1,No,0,0,0,79.0,0.5,0.5,0.9,43.0,0.7,0.7,1.2,0.0,0.0,0.0,2.040075345433209,2.1078751668984257,1.5661242781618594,2.3267740338250413,2.2240631648068128,1.5445040792799491,3.5434829297086874,10.131259853050718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.797743143833666,9.405688431901748,9.411946974819545
ANA,Sonny Milano,Sonny,Milano,25,LW,1,0,0,0,0,1,0,0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,1.7,1.7,2.1,False,RFA (2022),0.0,2022.0,1,1,No,1,0,1,78.0,-0.2,0.1,-0.1,6.0,-0.2,0.1,-0.1,1.7,1.159863558937256,1.7,-0.8160301381732835,0.4215750333796851,-0.174013808684651,-0.7146520246748341,0.3415525574524748,-0.1317731654941226,3.4986287154085773,9.67464732492592,9.303393943611782,0.0,0.0,0.0,0.0,0.0,9.303393943611782,9.583317989003664,8.941051636888862,8.956258741643353
ANA,Derek Grant,Derek,Grant,31,C,1,0,0,1,0,0,0,0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,3.0,1.5,1.8,False,UFA (2023),2023.0,0.0,1,1,No,1,0,1,76.0,0.4,0.7,1.1,46.0,0.5,0.9,1.3,1.5,2.0468180451833926,1.5,1.632060276346567,2.951025233657796,1.9141518955311616,1.7400223209474224,2.9106217939428283,1.7646145640082511,3.408920286808357,9.591626865266866,9.229493665528393,8.713337557132947,0.0,0.0,0.0,0.0,9.229493665528393,9.15446767934366,9.498615790904324,9.446999915833098
ANA,Troy Terry,Troy,Terry,23,RW,1,0,0,0,1,0,0,0,1.45,1.45,1.45,0.0,0.0,0.0,0.0,2.9,1.45,1.8,False,RFA (2023),0.0,2023.0,1,1,No,1,0,1,79.0,0.9,0.9,1.8,48.0,1.0,1.0,2.1,1.45,1.978590777010613,1.45,3.672135621779776,3.7941753004171663,3.132248556323719,3.751923129542879,3.5863018532509856,2.7672364753765755,3.5434829297086874,9.5708717503521,9.211018596007547,8.694617671677523,0.0,0.0,0.0,0.0,9.211018596007547,9.797743143833666,9.823861547413346,9.727423443941523
ANA,Carter Rowney,Carter,Rowney,32,C,1,0,0,1,0,0,0,0,1.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,1,1,No,0,1,0,76.0,-0.1,0.3,0.1,19.0,-0.3,0.9,0.3,0.0,0.0,0.0,-0.4080150690866417,1.2647251001390554,0.174013808684651,-1.0531714047839658,3.0200436658955665,0.3883840667195193,3.408920286808357,9.4392843217925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15446767934366,9.033978995891438,9.096470505697566
